Year,Average CO monthly,Average Ozone,PM10,PM25,NO2,,Hospitlizations Count
,10.5,90.2,32,80.2333333,49.56666667,,2425
,10.38709677,91.93548387,39,79.3870968,49.70967742,,2009
,11.5483871,88.38709677,36,75.0645161,50.93548387,,2203
,10.93333333,64.6,25.8333333,64.3,47.3,,3308
,10.83870968,26.4516129,39.1944444,54.3888889,53.4516129,,3897
,13.23333333,31.06666667,27.4,61.2666667,46.56666667,,4046
,10.80645161,20.06451613,28.8055556,59.6111111,58.12903226,,3605
2008,13,31,26.3333333,66,48.5,,3739
,11.28571429,34.21428571,27,66.8928571,49.32142857,,4030
,9.741935484,44.29032258,31.8,56.9677419,52.58064516,,3770
,10.3,62.9,37.8,59.8333333,56,,3158
,9.258064516,60.48387097,39.3333333,65.1935484,52.12903226,,3669
,10.5,101.6666667,53.8,90.9666667,56.73333333,,2551
,9.161290323,114.5806452,59,96.1935484,47.29032258,,2089
,9.935483871,68,40.4,76.8064516,43.19354839,,2197
,9.933333333,46.23333333,29.8,64.9,37.53333333,,3603
,11.19354839,22.25806452,32.3055556,46.7222222,45,,3989
,12,30.43333333,10.8,59.4333333,39.13333333,,3656
,12.32258065,20.62903226,26.5675676,52.6486487,49.72580645,,3853
2009,8.5,36,27.3333333,62,35,,3851
,12.67857143,37.21428571,28.25,63,52.14285714,,3382
,11.25806452,42.93548387,27.8,64.1935484,50.4516129,,3532
,10.36666667,62.63333333,23.2,61.2333333,53.1,,3272
,11.51612903,57.38709677,32,66.3870968,46.16129032,,4017
,10.43333333,52.86666667,36.5,67.0333333,43.4,,3275
,10.09677419,65.64516129,32.6,75.0645161,44.4516129,,2326
,10.12903226,77.4516129,40.4,65.9677419,41.61290323,,2910
,10.93333333,41.73333333,57.2,48.1333333,36.43333333,,4786
,10.4516129,21.41935484,33.7777778,44.6111111,40.74193548,,4460
,12.36666667,30.16666667,39.4,52.0666667,35.96666667,,3941
,11.74193548,21.93548387,30.0857143,55,49.24193548,,3514
2010,13,34,26,73.5,42.5,,3740
,10.46428571,37.53571429,11.5,58.25,40.64285714,,3375
,12.09677419,51,21,52.0967742,54.38709677,,3522
,9.466666667,59.5,30.6,48.3666667,48.93333333,,3644
,9.741935484,63.77419355,37.2,52.7419355,44.38709677,,3083
